Województwo,Powiat,Gmina,Miejscowość,Ulica (jeśli dotyczy),Typ punktu/Kategoria obszaru,WGS84 X,WGS84 Y,Parametr pomiaru,Data pomiaru,Wynik pomiaru [V/m],Niepewność pomiaru [V/m],Wartość maksymalna (Emax) [V/m],Niepewność pomiaru  [V/m],Wartość wskaźnika poziomu emisji pól elektromagnetycznych WME (z obliczeń)
WOJ. ŚLĄSKIE,Powiat wodzisławski,Radlin,Radlin,Kwiatowa,Miasta poniżej 20000 mieszkańców,18.475667,50.050222,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-21,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat zawierciański,Łazy,Łazy,Fabryczna,Miasta poniżej 20000 mieszkańców,19.38475,50.427722,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-19,1.3,0.4,1.9,0.57,0.09
WOJ. ŚLĄSKIE,Powiat bielski,Jasienica,Jasienica,Szkolna,Gminy wiejskie,18.918919,49.8145,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-03,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat bielski,Porąbka,Porąbka,Krakowska,Gminy wiejskie,19.21805,49.820889,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-26,"<0,7",,0.8,0.2,0.04
WOJ. ŚLĄSKIE,Powiat cieszyński,Hażlach,Pogwizdów,Szkolna,Gminy wiejskie,18.605589,49.804169,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-07,"<0,7",,0.9,0.3,0.04
WOJ. ŚLĄSKIE,Powiat częstochowski,Poczesna,Poczesna,Bankowa,Gminy wiejskie,19.153,50.7133,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-06,"<0,7",,0.88,0.26,0.04
WOJ. ŚLĄSKIE,Powiat kłobucki,Przystajń,Przystajń,Nowa,Gminy wiejskie,18.686889,50.880811,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-12,1,0.3,1.45,0.44,0.07
WOJ. ŚLĄSKIE,Powiat kłobucki,Wręczyca Wielka,Wręczyca Wielka,Czereśniowa,Gminy wiejskie,18.916681,50.844069,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-14,0.7,0.2,0.84,0.25,0.04
WOJ. ŚLĄSKIE,Powiat kłobucki,Panki,Panki,Powstańców Śląskich,Gminy wiejskie,18.748894,50.885567,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-12,"<0,7",,0.8,0.24,0.04
WOJ. ŚLĄSKIE,Powiat kłobucki,Lipie,Lipie,Częstochowska,Gminy wiejskie,18.802,51.007633,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-07,0.7,0.2,0.92,0.28,0.04
WOJ. ŚLĄSKIE,Powiat lubliniecki,Koszęcin,Koszęcin,Powstańców Śląskich,Gminy wiejskie,18.840839,50.637719,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-04,0.9,0.3,1.64,0.49,0.08
WOJ. ŚLĄSKIE,Powiat pszczyński,Miedźna,Miedźna,Pszczyńska,Gminy wiejskie,19.053619,49.969439,Składowa elektryczna 80[MHz] - 40[GHz],2023-10-03,1.4,0.4,1.7,0.5,0.08
WOJ. ŚLĄSKIE,Powiat pszczyński,Pawłowice,Pawłowice,Biskupa Pawłowskiego,Gminy wiejskie,18.720769,49.960639,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-07,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat raciborski,Kornowac,Kornowac,Starowiejska,Gminy wiejskie,18.326169,50.069969,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-07,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat rybnicki,Świerklany,Świerklany,3-go Maja,Gminy wiejskie,18.578069,50.014939,Składowa elektryczna 80[MHz] - 40[GHz],2023-11-07,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat rybnicki,Jejkowice,Jejkowice,Szkolna,Gminy wiejskie,18.474539,50.106469,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-07,"<0,7",,0.8,0.3,0.04
WOJ. ŚLĄSKIE,Powiat bieruńsko-lędziński,Bojszowy,Bojszowy,Gaikowa,Gminy wiejskie,19.092742,50.060003,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-04,"<0,7",,1.49,0.45,0.07
WOJ. ŚLĄSKIE,Powiat wodzisławski,Mszana,Mszana,Sportowa,Gminy wiejskie,18.527369,49.9696,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-07,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat zawierciański,Żarnowiec,Żarnowiec,Zabrodzie,Gminy wiejskie,19.873611,50.488681,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-16,1.2,0.4,1.67,0.5,0.08
WOJ. ŚLĄSKIE,Powiat zawierciański,Kroczyce,Kroczyce,Henryka Sienkiewicza,Gminy wiejskie,19.576119,50.562011,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-16,"<0,7",,1.03,0.31,0.05
WOJ. ŚLĄSKIE,Powiat zawierciański,Irządze,Irządze,,Gminy wiejskie,19.683817,50.6245,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-16,"<0,7",,0.96,0.29,0.04
WOJ. ŚLĄSKIE,Powiat żywiecki,Ujsoły,Ujsoły,Beskidzka,Gminy wiejskie,19.144039,49.478019,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-31,"<0,7",,0.7,0.2,0.03
WOJ. ŚLĄSKIE,Powiat żywiecki,Radziechowy-Wieprz,Wieprz,Szkolna,Gminy wiejskie,19.174161,49.643631,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-31,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat żywiecki,Ślemień,Ślemień,Szkolna,Gminy wiejskie,19.365511,49.718461,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-26,"<0,7",,,,
WOJ. ŚLĄSKIE,Powiat żywiecki,Łękawica,Łękawica,Żywiecka,Gminy wiejskie,19.279339,49.732781,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-26,"<0,7",,,,
WOJ. ŚWIĘTOKRZYSKIE,Powiat m. Kielce,M. Kielce,Kielce,Sienkiewicza,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,20.630539,50.8705,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-22,1.14,0.43,2.79,1.06,0.14
WOJ. ŚWIĘTOKRZYSKIE,Powiat m. Kielce,M. Kielce,Kielce,Żniwna,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,20.657261,50.878461,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-22,2.99,1.13,4.01,1.52,0.2
WOJ. ŚWIĘTOKRZYSKIE,Powiat ostrowiecki,Ostrowiec Świętokrzyski,Ostrowiec Świętokrzyski,Mikołaja Reja,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,21.389239,50.9372,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,1.05,0.4,1.71,0.65,0.08
WOJ. ŚWIĘTOKRZYSKIE,Powiat ostrowiecki,Ostrowiec Świętokrzyski,Ostrowiec Świętokrzyski,Iłżecka/Jasińskiego,Miasta w przedziale powyżej 50000 do 100000 mieszkańców,21.383369,50.949939,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-02,1.04,0.39,1.69,0.64,0.08
WOJ. ŚWIĘTOKRZYSKIE,Powiat buski,Busko-Zdrój,Busko-Zdrój,Armii Krajowej,Miasta w przedziale od 20000 do 50000 mieszkańców,20.721769,50.468011,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-06,1.74,0.66,2.04,0.77,0.1
WOJ. ŚWIĘTOKRZYSKIE,Powiat jędrzejowski,Jędrzejów,Jędrzejów,Przypkowskiego,Miasta w przedziale od 20000 do 50000 mieszkańców,20.282569,50.642561,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,0.4,0.16,1.14,0.43,0.06
WOJ. ŚWIĘTOKRZYSKIE,Powiat konecki,Końskie,Końskie,Piłsudskiego,Miasta w przedziale od 20000 do 50000 mieszkańców,20.40235,51.191919,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-29,1,0.38,1.5,0.57,0.07
WOJ. ŚWIĘTOKRZYSKIE,Powiat sandomierski,Sandomierz,Sandomierz,Rynek,Miasta w przedziale od 20000 do 50000 mieszkańców,21.750031,50.679261,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-30,1.83,0.69,3.14,1.19,0.15
WOJ. ŚWIĘTOKRZYSKIE,Powiat skarżyski,Skarżysko-Kamienna,Skarżysko-Kamienna ,A. Mickiewicza,Miasta w przedziale od 20000 do 50000 mieszkańców,20.86065,51.1152,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-19,0.53,0.21,1.08,0.41,0.05
WOJ. ŚWIĘTOKRZYSKIE,Powiat starachowicki,Starachowice,Starachowice,Lipowa,Miasta w przedziale od 20000 do 50000 mieszkańców,21.081031,51.050761,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-12,0.93,0.35,1.87,0.71,0.09
WOJ. ŚWIĘTOKRZYSKIE,Powiat staszowski,Staszów,Staszów,Rynek,Miasta w przedziale od 20000 do 50000 mieszkańców,21.1669,50.564211,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-10,1.36,0.51,1.99,0.75,0.1
WOJ. ŚWIĘTOKRZYSKIE,Powiat buski,Wiślica,Wiślica,Plac Solny,Miasta poniżej 20000 mieszkańców,20.675069,50.348481,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-06,"<0,3",,0.78,0.3,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat buski,Nowy Korczyn,Nowy Korczyn,Rynek,Miasta poniżej 20000 mieszkańców,20.809831,50.299789,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-06,"<0,3",,0.67,0.25,0.03
WOJ. ŚWIĘTOKRZYSKIE,Powiat jędrzejowski,Małogoszcz,Małogoszcz,Słoneczna,Miasta poniżej 20000 mieszkańców,20.266189,50.810069,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-16,0.41,0.18,2.84,1.08,0.14
WOJ. ŚWIĘTOKRZYSKIE,Powiat kazimierski,Skalbmierz,Skalbmierz,Rynek,Miasta poniżej 20000 mieszkańców,20.399889,50.320069,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,"<0,3",,0.94,0.36,0.05
WOJ. ŚWIĘTOKRZYSKIE,Powiat kazimierski,Kazimierza Wielka,Kazimierza Wielka,Szkolna,Miasta poniżej 20000 mieszkańców,20.484,50.2722,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,1.82,0.69,3.01,1.14,0.15
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Chęciny,Chęciny,Kielecka,Miasta poniżej 20000 mieszkańców,20.467231,50.80105,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-26,"<0,3",,0.64,0.24,0.03
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Pierzchnica,Pierzchnia,Rynek,Miasta poniżej 20000 mieszkańców,20.7539,50.697481,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-01,"<0,3",,1.01,0.38,0.05
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Chmielnik,Chmielnik,Kwiatowa,Miasta poniżej 20000 mieszkańców,20.746681,50.6185,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-01,0.41,0.2,2.33,0.88,0.11
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Morawica,Morawica,Kielecka,Miasta poniżej 20000 mieszkańców,20.61905,50.74865,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-01,"<0,3",,0.54,0.2,0.03
WOJ. ŚWIĘTOKRZYSKIE,Powiat konecki,Radoszyce,Radoszyce,Konecka,Miasta poniżej 20000 mieszkańców,20.265931,51.071669,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-29,"<0,3",,1.31,0.49,0.06
WOJ. ŚWIĘTOKRZYSKIE,Powiat opatowski,Opatów,Opatów,Partyzantów,Miasta poniżej 20000 mieszkańców,21.425381,50.798281,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-25,"<0,3",,0.73,0.28,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat opatowski,Iwaniska,Iwaniska,Rynek,Miasta poniżej 20000 mieszkańców,21.2774,50.73155,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-25,"<0,3",,4.38,1.66,0.22
WOJ. ŚWIĘTOKRZYSKIE,Powiat ostrowiecki,Ćmielów,Ćmielów,Ostrowiecka,Miasta poniżej 20000 mieszkańców,21.504919,50.891981,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-31,"<0,3",,1.43,0.54,0.07
WOJ. ŚWIĘTOKRZYSKIE,Powiat pińczowski,Pińczów,Działoszyce,Plac Partyzantów,Miasta poniżej 20000 mieszkańców,20.352581,50.36465,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-11,"<0,3",,0.77,0.29,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat pińczowski,Pińczów,Pińczów,Plac Wolności,Miasta poniżej 20000 mieszkańców,20.52565,50.520561,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-06,1.51,0.57,2.07,0.79,0.1
WOJ. ŚWIĘTOKRZYSKIE,Powiat sandomierski,Zawichost,Zawichost,Żeromskiego,Miasta poniżej 20000 mieszkańców,21.853169,50.808081,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-29,0.32,0.2,6.04,2.29,0.3
WOJ. ŚWIĘTOKRZYSKIE,Powiat skarżyski,Suchedniów,Suchedniów,Fabryczna,Miasta poniżej 20000 mieszkańców,20.831989,51.049281,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-19,1.67,0.63,2.06,0.78,0.1
WOJ. ŚWIĘTOKRZYSKIE,Powiat starachowicki,Wąchock,Wąchock,Św. Rocha,Miasta poniżej 20000 mieszkańców,21.009039,51.078331,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-12,"<0,3",,1.92,0.73,0.09
WOJ. ŚWIĘTOKRZYSKIE,Powiat staszowski,Połaniec,Połaniec,Ruszczańska,Miasta poniżej 20000 mieszkańców,21.276739,50.42975,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-10,1.31,0.5,2.34,0.89,0.12
WOJ. ŚWIĘTOKRZYSKIE,Powiat staszowski,Szydłów,Szydłów,Rynek,Miasta poniżej 20000 mieszkańców,21.0013,50.590711,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-10,"<0,3",,0.85,0.32,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat włoszczowski,Włoszczowa,Włoszczowa,Broniewskiego,Miasta poniżej 20000 mieszkańców,19.974364,50.848158,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-26,0.54,0.23,4.11,1.56,0.2
WOJ. ŚWIĘTOKRZYSKIE,Powiat buski,Tuczępy,Tuczępy,,Gminy wiejskie,20.993769,50.5175,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-10,"<0,3",,0.76,0.26,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat jędrzejowski,Sobków,Sobków,Kielecka,Gminy wiejskie,20.4602,50.697561,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-04,"<0,3",,0.92,0.35,0.05
WOJ. ŚWIĘTOKRZYSKIE,Powiat jędrzejowski,Imielno,Kawęczyn,,Gminy wiejskie,20.342,50.580711,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-04,"<0,3",,2.6,0.99,0.13
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Zagnańsk,Bartków,Słoneczna,Gminy wiejskie,20.645039,50.979631,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-14,"<0,3",,1.86,0.71,0.09
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Masłów,Masłów Pierwszy,Jana Pawła II,Gminy wiejskie,20.725681,50.903489,Składowa elektryczna 80[MHz] - 40[GHz],2023-04-14,"<0,3",,5.45,2.06,0.27
WOJ. ŚWIĘTOKRZYSKIE,Powiat kielecki,Nowiny,Nowiny,Gimnazjalna,Gminy wiejskie,20.539369,50.822719,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-26,0.54,0.22,0.93,0.35,0.05
WOJ. ŚWIĘTOKRZYSKIE,Powiat konecki,Fałków,Fałków,Plac Kościelny,Gminy wiejskie,20.102169,51.134881,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-29,"<0,3",,0.44,0.17,0.02
WOJ. ŚWIĘTOKRZYSKIE,Powiat konecki,Ruda Maleniecka,Ruda Maleniecka,,Gminy wiejskie,20.217969,51.147789,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-29,"<0,3",,0.91,0.35,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat opatowski,Tarłów,Tarłów,DK 79,Gminy wiejskie,21.716469,50.995,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-29,0.73,0.3,4.68,1.78,0.23
WOJ. ŚWIĘTOKRZYSKIE,Powiat ostrowiecki,Bałtów,Bałtów,DW 754,Gminy wiejskie,21.538389,51.015281,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-31,"<0,3",,0.85,0.32,0.04
WOJ. ŚWIĘTOKRZYSKIE,Powiat sandomierski,Łoniów,Łoniów,DK 79,Gminy wiejskie,21.522731,50.561031,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-30,"<0,3",,4.58,1.74,0.23
WOJ. ŚWIĘTOKRZYSKIE,Powiat sandomierski,Obrazów,Obrazów,,Gminy wiejskie,21.64345,50.688181,Składowa elektryczna 80[MHz] - 40[GHz],2023-06-30,"<0,3",,0.59,0.23,0.03
WOJ. ŚWIĘTOKRZYSKIE,Powiat starachowicki,Pawłów,Wagony,,Gminy wiejskie,21.108219,50.952139,Składowa elektryczna 80[MHz] - 40[GHz],2023-05-12,"<0,3",,0.91,0.35,0.05
WOJ. WARMIŃSKO-MAZURSKIE,Powiat m. Olsztyn,M. Olsztyn,Olsztyn,plac Cieszyński,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,20.460086,53.760433,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-05,"<0,8",,2.2,0.8,0.11
WOJ. WARMIŃSKO-MAZURSKIE,Powiat m. Olsztyn,M. Olsztyn,Olsztyn,Żołnierska/Wyszyńskiego,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,20.503661,53.766067,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-05,"<0,8",,2.3,0.8,0.11
WOJ. WARMIŃSKO-MAZURSKIE,Powiat m. Olsztyn,M. Olsztyn,Olsztyn,pl. Jana Pawła II,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,20.479833,53.778639,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-06,"<0,8",,3,1.1,0.14
WOJ. WARMIŃSKO-MAZURSKIE,Powiat m. Olsztyn,M. Olsztyn,Olsztyn,ul. Wilczyńskiego/Krasickiego,Miasta w przedziale powyżej 100000 do 200000 mieszkańców,20.510903,53.742097,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-05,2.3,0.9,3,1.1,0.15
WOJ. WARMIŃSKO-MAZURSKIE,Powiat bartoszycki,Bartoszyce,Bartoszyce,Kętrzyńska/ Boh. Monte Casino,Miasta w przedziale od 20000 do 50000 mieszkańców,20.814708,54.250372,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-14,1.5,0.6,1.9,0.7,0.09
WOJ. WARMIŃSKO-MAZURSKIE,Powiat bartoszycki,Bartoszyce,Bartoszyce,plac Konstytucji 3 Maja,Miasta w przedziale od 20000 do 50000 mieszkańców,20.809886,54.250928,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-14,0.8,0.5,3.5,1.3,0.17
WOJ. WARMIŃSKO-MAZURSKIE,Powiat działdowski,Działdowo,Działdowo,Ratusz Miejski,Miasta w przedziale od 20000 do 50000 mieszkańców,20.179333,53.233361,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-26,"<0,8",,3,1.1,0.14
WOJ. WARMIŃSKO-MAZURSKIE,Powiat działdowski,Działdowo,Działdowo,Świerkowa/ Leśna,Miasta w przedziale od 20000 do 50000 mieszkańców,20.197361,53.242639,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-26,"<0,8",,1.4,0.5,0.07
WOJ. WARMIŃSKO-MAZURSKIE,Powiat giżycki,Giżycko,Giżycko,Warszawska 39,Miasta w przedziale od 20000 do 50000 mieszkańców,21.781108,54.036308,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-01,"<0,8",,1.6,6,0.08
WOJ. WARMIŃSKO-MAZURSKIE,Powiat giżycki,Giżycko,Giżycko,Mickiewicza 27,Miasta w przedziale od 20000 do 50000 mieszkańców,21.76905,54.038197,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-01,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat iławski,Iława,Iława,Kościuszki 2,Miasta w przedziale od 20000 do 50000 mieszkańców,19.565883,53.596233,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-04,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat iławski,Iława,Iława,Zielona 76,Miasta w przedziale od 20000 do 50000 mieszkańców,19.584975,53.602486,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-04,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat kętrzyński,Kętrzyn,Kętrzyn,Władysława Jagiełły 1,Miasta w przedziale od 20000 do 50000 mieszkańców,21.372756,54.084767,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-28,0.9,0.5,2.9,1.1,0.14
WOJ. WARMIŃSKO-MAZURSKIE,Powiat kętrzyński,Kętrzyn,Kętrzyn,plac Józefa Piłsudskiego 9,Miasta w przedziale od 20000 do 50000 mieszkańców,21.373361,54.078417,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-28,1.2,0.6,4.5,1.7,0.22
WOJ. WARMIŃSKO-MAZURSKIE,Powiat mrągowski,Mrągowo,Mrągowo,Spacerowa 1,Miasta w przedziale od 20000 do 50000 mieszkańców,21.299022,53.866836,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat mrągowski,Mrągowo,Mrągowo,Wolności 3,Miasta w przedziale od 20000 do 50000 mieszkańców,21.303336,53.879156,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-25,0.9,0.5,2.2,0.8,0.11
WOJ. WARMIŃSKO-MAZURSKIE,Powiat bartoszycki,Górowo Iławeckie,Górowo Iławeckie,Mickiewicza 2,Miasta poniżej 20000 mieszkańców,20.481453,54.288253,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-13,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat bartoszycki,Bisztynek,Bisztynek,Owcza 15,Miasta poniżej 20000 mieszkańców,20.897692,54.084997,Składowa elektryczna 80[MHz] - 40[GHz],2023-09-04,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat bartoszycki,Sępopol,Sępopol,Plac Spółdzielczy 6,Miasta poniżej 20000 mieszkańców,21.013417,54.271064,Składowa elektryczna 80[MHz] - 40[GHz],2023-12-14,0.8,0.5,4.6,1.7,0.23
WOJ. WARMIŃSKO-MAZURSKIE,Powiat braniewski,Braniewo,Braniewo,Gdańska 14,Miasta poniżej 20000 mieszkańców,19.824225,54.381956,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-08,1,0.4,1.1,0.4,0.06
WOJ. WARMIŃSKO-MAZURSKIE,Powiat braniewski,Frombork,Frombork,Katedralna 11,Miasta poniżej 20000 mieszkańców,19.683522,54.356453,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-08,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat braniewski,Pieniężno,Pieniężno,Dworcowa 25,Miasta poniżej 20000 mieszkańców,20.124006,54.238658,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-13,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat działdowski,Lidzbark,Lidzbark,Zieluńska 54,Miasta poniżej 20000 mieszkańców,19.822675,53.251444,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-26,"<0,8",,1,0.4,0.05
WOJ. WARMIŃSKO-MAZURSKIE,Powiat elbląski,Tolkmicko,Tolkmicko,Świętojańska 32,Miasta poniżej 20000 mieszkańców,19.525883,54.321044,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-08,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat elbląski,Młynary,Młynary,Dworcowa 12,Miasta poniżej 20000 mieszkańców,19.728339,54.188256,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-13,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat elbląski,Pasłęk,Pasłęk,Sienkiewicza 1,Miasta poniżej 20000 mieszkańców,19.657072,54.065819,Składowa elektryczna 80[MHz] - 40[GHz],2023-01-31,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat giżycki,Ryn,Ryn,Partyzantów 12,Miasta poniżej 20000 mieszkańców,21.536756,53.938428,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-24,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat iławski,Lubawa,Lubawa,plac Zamkowy 1a,Miasta poniżej 20000 mieszkańców,19.752072,53.504928,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-03,"<0,8",,1,0.4,0.05
WOJ. WARMIŃSKO-MAZURSKIE,Powiat iławski,Kisielice,Kisielice,al. Wojska Polskiego 25,Miasta poniżej 20000 mieszkańców,19.257247,53.607583,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-22,"<0,8",,1.7,0.6,0.08
WOJ. WARMIŃSKO-MAZURSKIE,Powiat iławski,Susz,Susz,Stare Miasto 22,Miasta poniżej 20000 mieszkańców,19.339033,53.717756,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-22,1.3,0.5,1.8,0.7,0.09
WOJ. WARMIŃSKO-MAZURSKIE,Powiat iławski,Zalewo,Zalewo,Szkolna 2,Miasta poniżej 20000 mieszkańców,19.603011,53.842889,Składowa elektryczna 80[MHz] - 40[GHz],2023-08-30,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat kętrzyński,Korsze,Korsze,Wolności 6,Miasta poniżej 20000 mieszkańców,21.141594,54.168875,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-31,1.5,0.6,1.8,0.7,0.09
WOJ. WARMIŃSKO-MAZURSKIE,Powiat kętrzyński,Reszel,Reszel,Słowackiego 3,Miasta poniżej 20000 mieszkańców,21.14405,54.048125,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-28,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat nidzicki,Nidzica,Nidzica,Olsztyńska 10C,Miasta poniżej 20000 mieszkańców,20.411222,53.364611,Składowa elektryczna 80[MHz] - 40[GHz],2023-07-26,"<0,8",,1.8,0.7,0.09
WOJ. WARMIŃSKO-MAZURSKIE,Powiat braniewski,Lelkowo,Lelkowo,,Gminy wiejskie,20.224542,54.324353,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-13,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat elbląski,Godkowo,Skowrony,,Gminy wiejskie,19.889367,54.063703,Składowa elektryczna 80[MHz] - 40[GHz],2023-02-13,"<0,8",,,,
WOJ. WARMIŃSKO-MAZURSKIE,Powiat elbląski,Markusy,Markusy,,Gminy wiejskie,19.386717,54.04815,Składowa elektryczna 80[MHz] - 40[GHz],2023-01-31,"<0,8",,,,
